AREA,DISTANCE_F_C_C,FLOOR,MAX_FLOOR,ROOMS,WINDOWS,PRICE
61.1,7000,9,9,1,4,91830
57.6,7600,11,11,2,4,87400
59.7,1800,6,12,5,7,113650
36.7,4000,4,7,1,3,71330
61.7,5900,4,5,5,6,106450
39,2700,3,7,4,6,98070
84.5,2200,5,10,1,2,216260
32.4,8600,2,3,1,3,38570
50.9,2400,3,5,3,5,117500
48.4,7500,1,3,2,3,69210
98,3900,2,3,3,5,185480
27.6,1500,1,9,2,5,72060
93.3,4000,5,10,6,8,229290
54.3,8900,8,8,3,4,65090
31.6,5600,4,12,1,2,57510
24.5,1000,1,7,1,4,50490
81.5,1800,1,7,4,8,198700
68.1,9800,1,3,4,7,81820
96.1,7800,2,12,5,6,151000
26.9,7200,3,10,1,2,41160
63.8,3600,8,11,1,2,110180
37.8,6900,2,6,1,3,61620
39.6,8300,3,10,3,5,71320
49.8,8600,1,11,3,6,79060
68,7800,2,5,4,7,126740
42.5,3300,1,1,2,5,89920
98.6,5200,10,12,2,4,122610
26.6,8200,9,9,1,4,42010
51.8,6400,5,5,5,8,66940
47.7,5800,3,4,2,5,85600
32.5,9700,10,10,1,4,40010
20.1,1200,4,12,1,4,42120
74.2,5900,3,8,6,7,133930
38.3,9500,4,10,1,3,53440
56.8,9400,1,1,5,9,92780
56.3,4800,1,4,4,7,111420
26.9,8200,5,7,1,3,38100
65.4,9600,6,8,1,5,99840
27,6300,2,12,2,4,43220
40,4000,8,10,4,6,101080
84.7,500,1,1,2,6,209480
63.5,800,1,1,1,2,170990
48.4,200,6,7,2,3,137210
62.7,8000,11,11,3,4,89440
60.5,6000,8,11,2,4,88450
59.9,4800,3,12,1,3,126490
78,1600,5,10,2,3,223780
62.1,1100,7,7,5,6,177670
25.8,2000,1,12,1,4,60880
58.8,6800,4,11,2,5,103560
26.7,8500,1,11,3,7,40970
40.8,9600,3,9,4,7,74450
62.9,3000,7,12,5,6,116220
67.5,4900,5,9,3,6,132030
86,1000,2,5,4,8,217810
21.8,5900,6,8,2,4,30940
56.5,3600,1,1,4,7,136220
33.3,5600,4,7,1,4,48110
64.1,1200,1,9,5,8,161070
42.1,6200,2,6,1,4,70550
86.6,500,4,4,6,7,217920
22.2,9300,2,3,2,5,26370
44.8,6600,2,3,1,2,60720
22.1,7800,5,12,1,4,41440
96.3,4300,1,5,3,4,207140
20.5,3800,3,7,1,4,45780
54.2,1400,1,1,5,6,108090
53.3,7800,4,9,2,3,88910
60.2,1800,2,2,1,2,135720
69,1400,3,10,5,7,153580
57.9,4700,1,9,4,6,112870
26.2,4900,1,11,1,2,53640
68.8,6100,4,5,1,3,81170
35.6,4600,4,7,4,6,89920
63.7,9900,1,1,3,5,89030
32.8,9900,1,3,3,7,50210
60.2,5000,5,7,1,5,91100
50,1400,2,2,1,5,137200
97.1,1800,6,8,7,11,197310
65.3,200,5,12,3,7,190630
99.2,6100,1,6,5,9,130610
26.1,2700,3,10,2,6,54690
52.4,3600,1,2,5,9,109260
44.4,300,2,2,4,6,128750
60,7200,3,5,3,6,84070
34.8,1400,6,10,4,7,87540
89.1,9600,1,3,2,6,115310
59.9,2000,3,6,4,7,99580
40.2,100,4,8,3,7,103340
47,9600,7,12,4,6,77060
34.5,5000,1,2,2,6,46820
27,7800,4,11,1,3,39210
71.1,1100,6,10,2,5,184730
22.9,1000,5,8,1,5,54300
74.1,4000,1,9,5,6,154780
28.2,9700,5,10,3,7,42540
98.8,6200,7,7,2,6,143420
27.9,2000,1,7,2,4,43740
69.1,6000,7,12,1,3,94330
28.3,6500,3,9,1,5,40190
43.8,9000,3,7,1,4,56830
62.9,1300,1,7,4,7,131900
91.3,5000,3,3,5,8,135080
69.2,7500,1,6,2,6,122440
28.6,2400,3,6,1,2,57650
20.5,9300,7,11,1,5,32320
21.8,7100,1,12,1,4,32070
42.1,1400,8,8,1,3,91540
42.7,3400,2,2,1,2,72780
66.3,2800,4,12,1,3,110280
21.9,4400,11,12,1,4,37640
52.8,9500,1,6,1,5,80870
90.5,5500,10,10,2,5,122980
60,200,4,4,3,5,174790
50.8,300,1,6,2,6,147490
50.1,7600,1,10,3,7,86070
41.4,8500,3,7,1,2,74130
54,9100,9,9,4,5,65610
81.9,100,1,1,5,6,257760
29.8,4300,9,10,3,6,56290
77.7,3400,3,5,1,3,174720
63.2,2300,2,3,1,5,133780
39.7,800,2,4,1,2,106240
23.8,8800,9,10,1,4,33070
64.6,8300,8,9,5,6,81390
39.1,1300,2,2,1,3,91310
89.4,8200,2,2,2,4,122050
28.4,8800,3,3,1,3,36060
37.5,5400,2,5,1,5,50050
67.2,6200,8,9,4,7,86540
39.1,8100,1,5,1,2,55100
47.9,3100,6,7,4,8,96220
65.2,6400,3,5,2,4,86150
31.6,4900,8,9,4,7,61060
97.5,9600,2,2,6,9,134520
28.1,4100,1,2,2,6,45850
61.4,1200,3,3,3,5,112560
40.4,8200,1,1,4,6,67590
46.2,1000,8,9,1,5,105360
29.6,5700,1,4,1,5,41550
46.6,400,3,5,3,7,151750
50.1,3700,3,4,2,3,121110
94.5,3100,4,8,3,6,169580
58.4,3100,2,7,1,2,126430
65.5,2600,3,4,4,5,123020
42.7,7700,2,3,2,5,75780
31,5500,7,9,3,4,58250
61.1,4400,2,8,3,4,112950
25.4,800,3,3,1,4,53510
56.9,9800,3,4,1,2,101850
76.1,1100,5,12,5,6,226570
29.5,9700,4,11,2,5,38110
84.1,2100,2,2,3,4,202470
26.8,6100,1,1,1,2,39790
60.4,7800,5,10,3,6,93700
59.8,2100,1,1,1,3,135940
33.3,7300,2,3,4,5,42970
54.3,4900,2,8,4,5,116160
49.1,8000,6,9,5,8,78780
51.2,2800,1,6,3,5,121000
70.2,2700,1,2,4,7,166920
60.7,4400,5,12,4,6,140810
66.4,7700,1,6,4,8,97820
46.6,9500,4,6,2,6,66670
49.5,5100,8,10,3,5,91360
68.1,2900,1,5,1,3,108660
70.6,5500,1,2,1,5,106360
60.3,2300,1,6,1,3,99960
60.3,8500,6,7,1,4,107230
24.1,2000,3,5,2,3,49060
62.4,8000,10,11,4,7,88500
36.2,6500,1,7,3,5,50950
88.5,2400,5,10,1,2,209340
44,2100,5,5,1,5,92220
81.6,200,6,8,2,4,198140
54.6,1700,9,10,2,6,148300
81.4,9700,2,2,2,5,145270
66.3,7100,2,7,1,2,104610
55.4,4700,4,5,5,6,115870
37.5,4700,3,8,1,5,81360
95,3800,4,8,6,9,169940
46.9,5600,6,9,5,6,84200
26.3,5000,2,3,2,3,44750
38.7,2200,2,4,1,2,68820
63.1,9700,8,10,4,6,80980
25.5,1000,2,4,2,3,68330
41,1000,6,7,1,5,73870
51,3600,4,5,4,8,92440
58.4,8800,4,6,1,4,88930
65.9,9200,4,4,1,2,83030
86.1,9400,2,3,3,4,151410
51.8,5100,7,9,5,9,70270
48.3,8900,3,6,1,2,68130
32,2900,2,6,1,4,79700
49.4,4900,5,7,2,3,125910
39.9,2100,4,4,3,7,68330
53.1,4000,9,9,1,3,107520
51.9,7900,10,11,4,6,69590
74.6,5400,3,3,4,7,108020
67.8,300,3,11,4,6,172480
50.3,5900,12,12,1,2,72970
40.5,1100,1,4,1,4,76030
61.4,1600,2,3,4,8,128140
41.6,6900,4,4,1,3,74540
99.7,6300,4,4,3,7,162140
23,5500,3,7,3,7,34120
82,5200,3,3,2,3,112470
62.9,2900,6,6,1,2,117010
38.5,1000,1,12,1,3,79520
50.8,6600,2,12,3,5,67410
88.5,8900,2,5,6,9,146120
49.4,4800,3,7,1,4,95690
94.1,7500,2,2,7,8,124400
65.7,1800,3,8,5,7,140240
31.1,1500,2,5,1,5,93120
34.4,6300,3,5,1,2,51600
51.1,1400,2,2,5,6,119250
27.8,1700,7,9,1,5,61820
92.2,9400,1,6,6,7,163050
62.2,5800,1,1,5,9,78370
55.1,7900,2,3,1,2,75920
45.1,500,3,11,1,4,93480
32.5,9500,3,5,1,3,40260
40.7,9500,1,1,1,5,48600
63.1,1800,1,10,5,9,140270
39.8,5600,3,11,4,5,60600
63.3,7600,10,12,5,8,112210
43.2,800,3,4,4,8,101200
99.4,6300,3,7,7,9,187530
57.8,5500,1,1,4,6,88790
58.5,8400,7,9,2,4,110260
42.4,9700,1,1,1,4,55480
67.8,7300,2,8,4,6,96420
26,6600,1,2,3,7,31420
82.3,5900,2,2,5,7,134210
45.1,9900,11,12,3,6,78250
90,6100,1,4,5,8,123930
24.7,1100,1,2,3,5,53950
61.2,9800,5,9,1,3,95000
24.2,3300,4,8,1,2,46620
67.2,5600,1,1,2,6,113270
40.6,1600,1,3,1,4,98000
25.3,4500,1,4,1,2,55280
62.4,1800,1,10,4,8,119170
46.7,3100,3,12,4,7,107980
61.8,8800,1,1,3,4,103450
94.3,600,5,5,2,4,189590
64.2,3100,5,10,5,8,158080
93.9,5200,5,9,4,5,125770
40,500,11,11,4,8,88660
77.2,6700,1,4,2,4,106300
43.3,9100,3,3,3,6,63360
88.6,2500,5,7,3,6,211770
35,2100,1,1,3,4,65070
44,9200,8,9,2,4,63510
28.7,2800,4,8,2,3,60390
93.3,9800,2,5,5,9,170000
59.7,6900,6,6,4,6,86340
88.5,5800,1,1,3,7,158340
26.9,1900,5,5,1,5,57810
24.4,3400,2,4,1,2,59820
41.2,5300,2,4,1,5,76360
94.5,2500,1,1,2,3,208710
51.2,400,7,10,1,5,123150
64.2,9300,3,4,1,3,109200
47,900,3,4,1,5,120850
74.3,1800,1,1,2,3,169980
48.9,8000,2,7,1,2,61870
80,6800,2,2,1,3,134850
57.1,6400,7,10,1,4,98290
92,3000,2,7,4,8,195330
28.3,6200,2,2,3,6,36650
56.4,2000,1,2,4,6,111460
39.7,700,9,9,1,3,103000
95.9,9700,5,10,3,7,129460
47.9,6200,1,2,2,3,85400
23.4,2700,2,2,2,4,40620
33.1,6700,1,12,2,4,44890
32.6,1500,9,10,3,7,65510
20.4,3100,9,10,1,3,49510
44.1,2300,5,5,3,5,78140
55.2,6900,1,4,1,4,84800
90.9,5300,9,12,4,5,146280
60.6,5800,2,6,1,5,104950
59.5,5900,1,3,5,8,74540
38.7,4000,1,12,1,2,84630
50.3,4400,5,8,3,7,85860
37.9,400,9,9,2,6,85680
64.8,9200,4,5,3,6,92320
57.3,4500,2,9,2,5,119040
80.3,2600,6,9,2,6,187120
68.5,9900,3,5,3,7,115890
94.6,7600,1,5,4,6,167040
58.8,9000,5,5,1,5,78950
70,5600,2,2,4,8,85230
31.2,2700,9,10,1,5,52030
35.5,300,3,10,1,5,105180
39.9,7000,5,8,4,8,56780
35,6000,2,6,1,5,45280
54.2,1700,1,1,3,4,152140
72.9,5300,2,3,4,8,97360
25.3,3100,3,6,1,2,52200
86.7,6000,7,9,1,2,148170
26.2,7300,2,4,1,4,41140
82.8,1100,3,5,3,6,187130
47.6,5600,8,12,1,5,69770
23.9,500,5,7,1,3,50950
38.9,9000,5,7,1,5,56060
25.9,8900,2,2,1,5,42230
58.2,9800,3,7,4,6,100130
48.2,5500,1,10,1,3,76650
43,4900,2,2,4,5,102590
97,100,3,3,2,6,229510
51.6,7200,4,4,5,8,89070
99.1,1500,2,3,5,9,270060
26.3,600,5,7,2,6,76350
92.9,7100,4,8,2,5,116840
61.4,6800,3,5,5,8,79030
52.4,7000,5,6,5,9,86820
59.6,7700,1,3,2,4,91240
38.1,1500,2,5,1,4,107280
37.1,300,6,6,1,4,84740
58.3,5200,1,9,3,6,83530
52.1,2200,1,3,2,4,120550
42.7,2600,6,8,1,2,71510
64.8,1500,4,11,2,6,130070
79.3,2900,1,2,4,7,184700
54.5,5500,4,8,5,7,78740
81.2,5200,6,11,3,5,152350
27.8,1300,6,12,1,3,73390
72.3,700,5,12,4,8,144650
59.5,6600,9,11,1,2,108580
91.5,5400,2,2,2,4,148470
55,6400,5,5,5,8,83850
45,7600,4,5,3,7,71070
29.6,100,1,1,2,3,71580
66.3,9000,2,2,4,5,94390
25.6,1900,3,9,2,3,50290
52.9,5000,5,10,2,5,84880
37.8,2200,1,8,1,4,83070
74.3,800,1,8,2,5,179210
43.6,4700,7,10,1,4,93110
68.6,500,1,1,1,4,189540
25.7,5300,2,2,2,6,36190
22.6,7900,4,8,1,5,41800
27.3,2100,8,8,2,6,62850
72.6,4700,1,1,2,4,135310
59.4,3000,3,4,2,6,113540
63.9,9200,10,10,4,5,89600
23.8,7300,4,5,3,7,42660
71.8,2400,8,10,3,6,130960
55.4,9200,6,11,1,5,79730
92.6,3700,3,11,5,9,233640
50.1,900,2,7,2,5,142350
59.5,4100,10,12,1,5,118810
57.7,5000,8,10,1,3,104580
97.2,9100,3,3,2,3,162530
67,3600,5,7,5,9,109660
72.8,7600,2,5,2,3,100690
23.1,4400,1,1,3,7,47290
70.2,4200,3,3,1,3,141830
20.9,6000,5,10,1,2,32580
40.9,6100,1,8,1,2,62940
52.3,4600,2,2,3,7,90980
36.7,5300,6,11,3,5,45420
62.7,6600,6,10,5,6,92980
44.9,3200,2,2,2,3,97020
31,2900,2,5,3,5,50060
96.3,4700,3,12,2,6,209590
43.3,4800,9,11,1,4,109130
56.6,300,4,10,2,3,181790
66.7,900,3,6,1,4,126920
47.5,9500,2,10,3,6,83610
25.1,5300,11,11,2,3,33950
82.4,6200,2,2,6,9,140310
50.8,2800,3,3,3,7,120420
40.3,3300,1,1,4,6,85480
49.8,7600,1,11,2,5,61760
49.9,4600,2,3,4,7,118380
46.2,8200,5,8,4,7,68990
62.6,8300,10,10,5,8,107100
54.2,3700,8,8,1,4,126090
98.4,4000,1,2,5,8,179770
29.2,2900,2,3,3,4,51740
33.8,2000,2,8,3,6,61070
28.6,8100,1,1,2,3,47490
40.4,8800,2,4,4,6,65050
26.3,6800,1,11,2,3,39330
91.3,9200,1,1,6,8,157600
27.6,5800,5,5,3,6,38990
98.5,4600,3,4,7,9,203270
48.2,600,6,12,3,5,125180
36,6300,8,8,1,2,60550
52.6,2600,2,9,1,2,120970
21.7,9300,3,9,1,2,27830
59.9,8500,2,11,2,6,76080
62.8,1000,3,10,3,5,138350
30,1900,2,8,4,6,82820
61.2,9500,4,5,5,7,98090
61.5,1400,2,2,1,3,152480
54.7,5400,4,7,5,6,73470
31.2,8900,3,9,1,4,46970
31.3,6900,2,2,4,7,46220
28.5,7900,10,10,2,5,34850
26.5,4600,1,2,3,7,49770
56.7,1700,10,10,3,5,102360
67.4,2300,1,12,5,7,114890
21,5900,1,7,3,4,36770
26.2,7200,6,10,2,6,35910
68.3,8000,1,10,2,6,111750
25.8,3500,1,1,2,6,55470
67.1,1100,1,2,4,5,182860
42.8,4600,1,3,2,3,102570
34.1,7900,2,4,3,5,53090
80.4,7900,3,4,4,6,94710
53.2,8600,5,10,2,4,72720
99,8300,2,6,6,7,171640
33.9,7600,12,12,2,4,55550
27.1,2000,1,1,2,3,53680
47.4,8000,11,11,5,8,78660
88.8,6000,7,12,5,7,120120
56.5,100,1,1,1,3,145930
27.1,3400,2,6,1,3,57590
61.8,6300,3,9,1,4,91580
36,9600,3,6,4,6,51160
49.9,9400,1,3,4,6,59950
67.7,7900,1,2,1,2,103820
68.8,3400,2,2,5,7,114670
30.3,8900,7,7,1,5,53960
29.8,100,5,5,1,2,92340
75.4,2800,2,2,4,6,147590
53,8400,1,6,2,3,94300
26.8,3000,6,11,1,2,52670
57.7,4400,4,5,1,2,131120
97.8,5200,4,4,3,4,172780
54.4,5600,4,5,1,2,89400
23.3,9000,4,10,3,5,39220
54.9,4800,2,2,5,9,110080
43.3,5000,1,6,1,3,75290
62.4,8700,1,2,2,4,74180
23.3,4000,5,7,2,4,57300
50.4,6000,2,6,5,7,93460
40.3,5900,4,9,1,2,67640
43,7300,1,11,1,3,75150
52.6,6500,6,8,3,6,82400
43.6,6900,4,5,3,5,68190
86.4,3000,2,2,3,7,209950
29.9,5700,3,9,2,5,49160
79.6,200,3,8,5,7,202130
52,4400,1,5,3,7,106230
95,4200,1,2,7,10,204430
55.7,9700,5,6,1,3,77650
60.6,8100,6,9,2,6,83010
39.8,1100,1,7,1,5,104050
87.1,2300,2,9,3,4,200240
54.6,2300,1,3,3,7,130120
40.3,8000,2,2,3,5,50990
35.7,2900,9,10,1,5,60850
27.6,1500,1,1,1,4,59260
44.3,3400,2,6,3,4,110890
33,800,3,6,4,5,73600
60.3,200,8,8,1,3,146850
70,5300,2,7,5,6,128540
28.5,1000,5,5,1,4,63580
20.8,400,6,8,1,3,53470
35.4,3900,1,2,4,7,68430
69.1,5000,5,11,4,5,106210
30,7600,10,10,1,3,39360
56.8,9800,3,6,2,5,95180
51,1400,4,9,2,6,145250
99,400,3,3,6,10,300800
45.1,3300,6,9,1,4,93400
82.7,8200,2,4,1,3,114070
66.5,5000,1,8,4,8,109460
97.5,400,2,4,3,7,244710
68.8,7500,4,7,4,5,89730
34.4,1000,6,10,1,2,84020
22.5,1700,4,9,3,4,56530
58.4,200,1,7,2,4,144170
27.6,2500,3,9,1,2,56320
96.2,4900,5,11,3,4,193830
65.1,200,6,10,5,9,167780
68.4,3900,6,6,4,5,126690
25,100,7,7,1,2,57010
38.3,6700,7,10,3,6,65490
29.8,7000,3,12,1,4,46730
32,3700,2,2,1,2,67100
48.3,6700,1,2,1,3,77720
70.3,2500,10,12,2,6,166360
24.9,2900,6,9,1,5,56890
72.4,200,3,6,4,7,179300
51.4,8400,7,12,4,6,75930
45.3,3100,2,3,1,5,106810
37.3,4500,9,12,1,5,93220
94.4,3700,1,9,3,6,184950
39.9,5600,4,10,1,4,68450
55.2,2300,2,9,1,5,97480
70,8200,5,7,5,9,115170
61.2,4500,3,4,4,6,115280
39.9,1300,5,8,4,5,93660
90.7,5200,3,3,4,5,146520
33.5,4200,7,8,3,4,73950
85.3,6400,3,3,4,5,118140
69.6,7500,3,12,2,6,90450
93.3,5000,1,2,3,6,111590
42.9,8400,2,6,3,5,53590
82.3,4000,1,11,3,4,139690
46.9,5800,1,2,2,3,61540
61,1400,2,2,3,5,151850
48.9,300,2,2,5,9,142590
48.7,7400,3,7,5,9,60190
56.2,1600,5,7,2,3,137740
93.3,5500,4,12,6,7,172040
49.8,7200,6,6,2,4,71260
36.4,8400,7,12,1,5,53970
45.8,1700,2,2,2,5,87420
59.7,8200,7,8,3,7,92950
43.6,5800,8,10,1,2,67800
51.5,5700,1,3,4,8,82360
22.5,2200,1,7,1,3,47120
82.5,600,4,9,1,2,196640
30.2,1000,1,6,1,3,57070
35.9,8500,5,7,3,4,51320
44.8,2300,7,7,1,5,83010
25.5,3300,4,5,2,5,48030
32.2,7700,7,12,4,6,47810
26.9,2200,1,1,2,3,64830
58.9,1600,8,10,3,6,169540
84.3,6400,2,8,5,7,140380
58,4100,7,8,1,4,135820
88.9,4200,2,11,3,4,201590
47,7000,3,4,5,9,63320
55.8,4100,5,8,1,4,122770
67.6,5200,1,1,1,3,114370
26.7,7200,1,10,1,5,46420
63.6,600,3,5,1,2,178960
88.1,7600,8,9,2,5,107510
64.6,9500,7,9,3,7,98490
65.5,6900,6,6,2,3,106810
54.4,4500,8,8,4,7,112750
66.9,8200,1,12,2,3,85730
34.1,3900,1,9,4,6,55390
79.7,1800,7,8,4,7,172650
57.2,7300,2,3,5,9,78550
33.7,3500,11,12,1,2,74330
69.6,9500,1,9,4,6,118640
93.5,4400,11,11,3,7,157520
55.7,5800,1,7,1,3,83460
64.4,100,2,4,1,4,202070
57.8,600,1,2,4,6,162400
45,4800,3,4,1,4,79540
24.1,8400,1,2,2,6,39880
24.5,800,2,5,2,6,61090
45.3,2800,1,2,1,4,76520
44.4,3100,8,10,3,7,73180
38.2,5300,2,2,2,3,60780
42.6,6700,1,4,1,5,51980
66,4400,6,8,1,5,114300
30.8,200,8,8,1,3,73840
43.1,3200,3,3,1,3,91460
33.7,5900,1,6,2,4,50890
38.9,7700,1,6,1,2,67350
58.4,9600,1,4,4,8,83880
56.5,9000,3,8,4,8,93340
57.1,700,2,6,2,6,169670
32.1,5900,9,11,3,7,41800
73.1,3300,1,8,6,7,113150
48.6,4600,5,5,5,9,114510
72.9,6900,1,2,1,4,113370
43,3900,1,7,2,5,87730
96.1,6000,3,3,4,8,150490
50.7,8200,1,12,5,8,73600
64.8,3300,7,11,4,5,159680
49.2,5100,1,3,2,4,86740
69.5,7600,4,6,2,6,91510
63.5,9300,3,9,5,9,79740
61.1,2100,2,2,1,2,106950
67.5,5100,2,4,2,4,85860
50.1,4000,2,9,3,5,104800
44.6,7300,6,10,1,5,61220
73.7,7700,1,10,3,4,125760
65,1300,1,1,4,7,147300
46,9600,5,10,2,5,58900
44.6,3900,1,3,1,5,75700
35.6,8000,10,10,1,4,62180
23.2,3600,8,9,3,5,40770
94.3,5300,7,11,5,9,140550
24.7,7300,2,3,1,5,35230
93,9700,5,12,5,9,118910
40.9,1000,3,3,1,5,81010
95.8,9800,10,11,3,5,124580
28.7,5900,9,12,2,3,38600
92.7,9000,7,7,6,8,124560
45.9,500,1,1,1,3,98970
45.7,9800,3,5,1,4,81750
60.4,9900,1,7,3,5,101430
89.4,8300,7,9,1,2,142590
60.3,5300,1,10,1,5,89590
56,5000,1,1,1,4,85020
42.2,7800,8,12,1,5,78570
43.8,7500,1,2,2,3,77490
